dt_reference;id_city_origin;id_city_destination;freight_cost
13/10/2023;5102637,0;4118204,0;525,0
27/10/2023;5102637,0;4118204,0;527,25
03/11/2023;5102637,0;4118204,0;509,5
16/02/2024;5102637,0;4118204,0;425,0
23/02/2024;5102637,0;4118204,0;427,5
08/03/2024;5102637,0;4118204,0;422,5
22/03/2024;5102637,0;4118204,0;360,0
28/03/2024;5102637,0;4118204,0;355,0
19/04/2024;5102637,0;4118204,0;415,0
10/05/2024;5102637,0;4118204,0;407,5
17/05/2024;5102637,0;4118204,0;465,0
24/05/2024;5102637,0;4118204,0;475,0
14/06/2024;5102637,0;4118204,0;455,0
28/06/2024;5102637,0;4118204,0;446,5
14/01/2022;5103403,0;4118204,0;350,0
28/01/2022;5103403,0;4118204,0;320,0
04/02/2022;5103403,0;4118204,0;330,0
11/02/2022;5103403,0;4118204,0;340,0
18/03/2022;5103403,0;4118204,0;310,0
01/04/2022;5103403,0;4118204,0;400,0
22/04/2022;5103403,0;4118204,0;360,0
13/05/2022;5103403,0;4118204,0;380,0
10/06/2022;5103403,0;4118204,0;385,0
17/06/2022;5103403,0;4118204,0;390,0
24/06/2022;5103403,0;4118204,0;420,0
01/07/2022;5103403,0;4118204,0;430,0
15/07/2022;5103403,0;4118204,0;460,0
12/08/2022;5103403,0;4118204,0;410,0
09/09/2022;5103403,0;4118204,0;370,0
31/03/2023;5103403,0;4118204,0;415,0
26/05/2023;5103403,0;4118204,0;404,0
02/06/2023;5103403,0;4118204,0;399,0
23/06/2023;5103403,0;4118204,0;392,5
07/07/2023;5103403,0;4118204,0;426,25
14/07/2023;5103403,0;4118204,0;444,0
21/07/2023;5103403,0;4118204,0;445,0
04/08/2023;5103403,0;4118204,0;450,0
22/09/2023;5103403,0;4118204,0;435,0
10/11/2023;5103403,0;4118204,0;440,0
26/01/2024;5103403,0;4118204,0;405,0
16/02/2024;5103403,0;4118204,0;345,0
15/03/2024;5103403,0;4118204,0;365,0
07/06/2024;5103403,0;4118204,0;395,0
07/01/2022;5107040,0;4118204,0;290,0
14/01/2022;5107040,0;4118204,0;280,0
28/01/2022;5107040,0;4118204,0;300,0
11/02/2022;5107040,0;4118204,0;315,0
18/02/2022;5107040,0;4118204,0;302,5
25/02/2022;5107040,0;4118204,0;306,25
04/03/2022;5107040,0;4118204,0;310,0
11/03/2022;5107040,0;4118204,0;312,5
25/03/2022;5107040,0;4118204,0;325,0
